Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
01:22:11 03-09-2025,0,0,447,0,0,0,12.8053569793701,0,0,0,7.22346591949463,0
01:22:41 03-09-2025,0,0,339,0,0,0,12.8740386962891,0,0,0,7.42260837554932,0
01:23:11 03-09-2025,0,0,273,0,0,0,12.8740386962891,0,0,0,7.40200805664063,0
01:23:41 03-09-2025,0,0,351,0,0,0,12.8893013000488,0,0,0,7.42031955718994,0
01:24:11 03-09-2025,0,0,372,0,0,0,12.9045639038086,0,0,0,7.39742946624756,0
01:24:41 03-09-2025,0,0,189,0,0,0,12.8969326019287,0,0,0,7.39971923828125,0
01:25:11 03-09-2025,0,0,357,0,0,0,12.8816699981689,0,0,0,7.45694351196289,0
01:25:41 03-09-2025,0,0,123,0,0,0,12.9274578094482,0,0,0,7.46609973907471,0
01:26:11 03-09-2025,0,0,270,0,0,0,12.9274578094482,0,0,0,7.44778823852539,0
01:26:41 03-09-2025,0,0,434,0,0,0,12.9198265075684,0,0,0,7.46152210235596,0
01:27:11 03-09-2025,0,0,359,0,0,0,12.9274578094482,0,0,0,7.42947578430176,0
01:27:41 03-09-2025,0,0,384,0,0,0,12.9274578094482,0,0,0,7.47525596618652,0
01:28:11 03-09-2025,0,0,323,0,0,0,12.9274578094482,0,0,0,7.39285182952881,0
01:28:41 03-09-2025,0,0,272,0,0,0,12.942720413208,0,0,0,7.41116428375244,0
01:29:11 03-09-2025,0,0,360,0,0,0,12.9350891113281,0,0,0,7.43176460266113,0
01:29:41 03-09-2025,0,0,432,0,0,0,12.942720413208,0,0,0,7.43405342102051,0
01:30:11 03-09-2025,0,0,300,0,0,0,12.9350891113281,0,0,0,7.45236587524414,0
01:30:41 03-09-2025,0,0,434,0,0,0,12.942720413208,0,0,0,7.42718696594238,0
01:31:11 03-09-2025,0,0,477,0,0,0,12.9503517150879,0,0,0,7.3722505569458,0
01:31:41 03-09-2025,0,0,419,0,0,0,12.9656143188477,0,0,0,7.42031955718994,0
01:32:11 03-09-2025,0,384,0,0,0,13.0037708282471,0,0,0,7.02203369140625,0,0
01:32:41 03-09-2025,0,493,0,0,0,3.30438804626465,0,0,0,8.1047306060791,0,0
01:33:11 03-09-2025,0,501,0,0,0,4.34224414825439,0,0,0,8.00401496887207,0,0
01:33:41 03-09-2025,0,480,0,0,0,5.69298458099365,0,0,0,8.02461624145508,0,0
01:34:11 03-09-2025,0,511,0,0,0,6.89873027801514,0,0,0,7.94221210479736,0,0
